"global_step","train-dgx_1nodo_semifreezed_0.000001_full - _step","train-dgx_1nodo_semifreezed_0.000001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.000001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.000001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_semifreezed_0.00001_full - _step","train-dgx_1nodo_semifreezed_0.00001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.00001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.00001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_semifreezed_0.0001_full - _step","train-dgx_1nodo_semifreezed_0.0001_full - _step__MIN","train-dgx_1nodo_semifreezed_0.0001_full - _step__MAX","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss__MIN","train-dgx_1nodo_semifreezed_0.0001_full - losses/inner_action_loss__MAX","train-dgx_1nodo_freezed_full - _step","train-dgx_1nodo_freezed_full - _step__MIN","train-dgx_1nodo_freezed_full - _step__MAX","train-dgx_1nodo_freezed_full - losses/inner_action_loss","train-dgx_1nodo_freezed_full - losses/inner_action_loss__MIN","train-dgx_1nodo_freezed_full - losses/inner_action_loss__MAX"
"247680","61845","61845","61845","0.8159086","0.8159086","0.8159086","425","425","425","0.5952446","0.5952446","0.5952446","425","425","425","0.7643496","0.7643496","0.7643496","","","","","",""
"253440","61855","61855","61855","0.5285526","0.5285526","0.5285526","","","","","","","62245","62245","62245","0.30779478","0.30779478","0.30779478","","","","","",""
"256000","","","","","","","","","","","","","","","","","","","245","245","245","0.27721113","0.27721113","0.27721113"
"264960","61875","61875","61875","0.522684","0.522684","0.522684","455","455","455","0.5748349","0.5748349","0.5748349","","","","","","","","","","","",""
"270720","61885","61885","61885","0.53971255","0.53971255","0.53971255","","","","","","","","","","","","","","","","","",""
"276480","61895","61895","61895","0.5890556","0.5890556","0.5890556","31275","475","62075","0.48414630000000003","0.3819733","0.5863193","","","","","","","265","265","265","0.3377776","0.3377776","0.3377776"
"282240","485","485","485","0.5206888","0.5206888","0.5206888","62085","62085","62085","0.3883554","0.3883554","0.3883554","","","","","","","","","","","",""
"288000","495","495","495","0.5308677","0.5308677","0.5308677","495","495","495","0.658012","0.658012","0.658012","31400","495","62305","0.35263923","0.23368976","0.4715887","","","","","",""
"293760","505","505","505","0.32033274","0.32033274","0.32033274","","","","","","","31410","505","62315","0.344719025","0.25458455","0.4348535","","","","","",""
"296960","","","","","","","","","","","","","","","","","","","285","285","285","0.41644534","0.41644534","0.41644534"
"299520","","","","","","","515","515","515","0.67658836","0.67658836","0.67658836","","","","","","","","","","","",""
"305280","525","525","525","0.35136312","0.35136312","0.35136312","","","","","","","","","","","","","","","","","",""
