"global_step","train-good_full_from_scratch_lr_3e5_beta_3 - _step","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MAX","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e6 - _step","train-good_full_dataset_lr_3e6 - _step__MIN","train-good_full_dataset_lr_3e6 - _step__MAX","train-good_full_dataset_lr_3e6 - losses/vf_loss","train-good_full_dataset_lr_3e6 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e6 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e4 - _step","train-good_full_dataset_lr_3e4 - _step__MIN","train-good_full_dataset_lr_3e4 - _step__MAX","train-good_full_dataset_lr_3e4 - losses/vf_loss","train-good_full_dataset_lr_3e4 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e4 - losses/vf_loss__MAX"
"143360","139","139","139","0.0008613037061877549","0.0008613037061877549","0.0008613037061877549","","","","","","","","","","","",""
"143500","","","","","","","","","","","","","143","143","143","0.03730693459510803","0.03730693459510803","0.03730693459510803"
"145516","","","","","","","","","","","","","145","145","145","0.03973554074764252","0.03973554074764252","0.03973554074764252"
"146480","","","","","","","155","155","155","0.10513180494308472","0.10513180494308472","0.10513180494308472","","","","","",""
"147556","","","","","","","","","","","","","147","147","147","0.04051961749792099","0.04051961749792099","0.04051961749792099"
"148964","","","","","","","158","158","158","0.1093778982758522","0.1093778982758522","0.1093778982758522","","","","","",""
"149532","","","","","","","","","","","","","149","149","149","0.04996563494205475","0.04996563494205475","0.04996563494205475"
"155480","","","","","","","165","165","165","0.11922159790992737","0.11922159790992737","0.11922159790992737","","","","","",""
"155608","","","","","","","","","","","","","155","155","155","0.051676928997039795","0.051676928997039795","0.051676928997039795"
"156608","","","","","","","","","","","","","156","156","156","0.059807728976011276","0.059807728976011276","0.059807728976011276"
"157696","153","153","153","0.0007954700267873704","0.0007954700267873704","0.0007954700267873704","","","","","","","","","","","",""
"158616","","","","","","","","","","","","","158","158","158","0.05895593762397766","0.05895593762397766","0.05895593762397766"
"162668","","","","","","","","","","","","","162","162","162","0.04764966666698456","0.04764966666698456","0.04764966666698456"
"164120","","","","","","","175","175","175","0.09826359897851944","0.09826359897851944","0.09826359897851944","","","","","",""
"165708","","","","","","","","","","","","","165","165","165","0.03335274010896683","0.03335274010896683","0.03335274010896683"
"167756","","","","","","","","","","","","","167","167","167","0.03814090043306351","0.03814090043306351","0.03814090043306351"
"175652","","","","","","","","","","","","","175","175","175","0.03762884438037872","0.03762884438037872","0.03762884438037872"
"178176","173","173","173","0.0010796717833727598","0.0010796717833727598","0.0010796717833727598","","","","","","","","","","","",""
"179556","","","","","","","191","191","191","0.10735826194286346","0.10735826194286346","0.10735826194286346","","","","","",""
"186368","181","181","181","0.0010765086626634002","0.0010765086626634002","0.0010765086626634002","","","","","","","","","","","",""
"188244","","","","","","","200","200","200","0.126735657453537","0.126735657453537","0.126735657453537","","","","","",""
"191212","","","","","","","203","203","203","0.11211461573839188","0.11211461573839188","0.11211461573839188","","","","","",""
"191744","","","","","","","","","","","","","191","191","191","0.04685811698436737","0.04685811698436737","0.04685811698436737"
"193536","188","188","188","0.0014701513573527336","0.0014701513573527336","0.0014701513573527336","","","","","","","","","","","",""
"194220","","","","","","","206","206","206","0.09990795701742172","0.09990795701742172","0.09990795701742172","","","","","",""
"194560","189","189","189","0.0013877889141440392","0.0013877889141440392","0.0013877889141440392","","","","","","","","","","","",""
"197724","","","","","","","","","","","","","197","197","197","0.0364164374768734","0.0364164374768734","0.0364164374768734"
"200540","","","","","","","","","","","","","200","200","200","0.06332677602767944","0.06332677602767944","0.06332677602767944"
"200660","","","","","","","213","213","213","0.1097748726606369","0.1097748726606369","0.1097748726606369","","","","","",""
"200704","195","195","195","0.0013776796404272318","0.0013776796404272318","0.0013776796404272318","","","","","","","","","","","",""
"201640","","","","","","","214","214","214","0.10964979231357574","0.10964979231357574","0.10964979231357574","","","","","",""
"202656","","","","","","","215","215","215","0.14836111664772034","0.14836111664772034","0.14836111664772034","","","","","",""
"203540","","","","","","","","","","","","","203","203","203","0.06304927170276642","0.06304927170276642","0.06304927170276642"
"206588","","","","","","","","","","","","","206","206","206","0.055283285677433014","0.055283285677433014","0.055283285677433014"
"208376","","","","","","","221","221","221","0.1421559900045395","0.1421559900045395","0.1421559900045395","","","","","",""
"213620","","","","","","","","","","","","","213","213","213","0.03722309693694115","0.03722309693694115","0.03722309693694115"
"214644","","","","","","","","","","","","","214","214","214","0.04522961750626564","0.04522961750626564","0.04522961750626564"
"215616","","","","","","","","","","","","","215","215","215","0.05432494729757309","0.05432494729757309","0.05432494729757309"
"221680","","","","","","","","","","","","","221","221","221","0.04320807009935379","0.04320807009935379","0.04320807009935379"
"222208","216","216","216","0.0022979597561061382","0.0022979597561061382","0.0022979597561061382","","","","","","","","","","","",""
"222308","","","","","","","235","235","235","0.12819957733154297","0.12819957733154297","0.12819957733154297","","","","","",""
"228072","","","","","","","241","241","241","0.12543660402297974","0.12543660402297974","0.12543660402297974","","","","","",""
"228352","222","222","222","0.002407945692539215","0.002407945692539215","0.002407945692539215","","","","","","","","","","","",""
"235624","","","","","","","","","","","","","235","235","235","0.03638727590441704","0.03638727590441704","0.03638727590441704"
"241536","","","","","","","","","","","","","241","241","241","0.04406396299600601","0.04406396299600601","0.04406396299600601"
"241664","235","235","235","0.004147451836615801","0.004147451836615801","0.004147451836615801","","","","","","","","","","","",""
"244952","","","","","","","258","258","258","0.11255653947591782","0.11255653947591782","0.11255653947591782","","","","","",""
"245760","239","239","239","0.0024620103649795055","0.0024620103649795055","0.0024620103649795055","","","","","","","","","","","",""
